time (s)	coil I (A)	last det (V)	int current (uC)
3908.905177	0.963486	0.130560	432.605347
3908.906077	1.429259	0.130560	1718.938477
3908.907018	0.774089	0.130560	2447.356689
3908.907930	0.109673	0.130560	2547.378418
3908.908846	0.097603	0.130560	2636.782227
3908.909730	0.097731	0.130560	2723.176270
3908.910670	0.097837	0.130560	2815.143066
3908.911571	0.097808	0.130560	2903.267822
3908.912462	0.097720	0.130560	2990.336182
3908.913390	0.097896	0.130560	3081.183105
3908.914306	0.097800	0.130560	3170.768066
3908.915213	0.097822	0.130560	3259.492920
3908.916101	0.097734	0.130560	3346.281006
3909.925854	0.961985	0.105113	439.627045
3909.926797	1.433591	0.105113	1791.503662
3909.927724	0.712471	0.105113	2451.963867
3909.928619	0.107395	0.105113	2548.082520
3909.929550	0.097657	0.105113	2639.001709
3909.930452	0.097756	0.105113	2727.177979
3909.931352	0.097632	0.105113	2815.046631
3909.932239	0.097698	0.105113	2901.704590
3909.933182	0.097789	0.105113	2993.919922
3909.934082	0.097745	0.105113	3081.890625
3909.934979	0.097646	0.105113	3169.479492
3909.935898	0.097760	0.105113	3259.321045
3909.936827	0.097848	0.105113	3350.221680
3910.970061	0.958975	0.123503	421.948822
3910.970976	1.429849	0.123503	1730.260376
3910.971888	0.790320	0.123503	2451.031982
3910.972831	0.109819	0.123503	2554.591553
3910.973732	0.097745	0.123503	2642.660156
3910.974627	0.097742	0.123503	2730.138916
3910.975514	0.097716	0.123503	2816.812988
3910.976449	0.097745	0.123503	2908.204834
3910.977357	0.097705	0.123503	2996.921143
3910.978258	0.097705	0.123503	3084.953369
3910.979180	0.097760	0.123503	3175.088135
3910.980096	0.097815	0.123503	3264.686523
3910.980998	0.097701	0.123503	3352.813232
3911.990303	1.045686	0.103180	548.985168
3911.991219	1.435206	0.103180	1863.634033
3911.992154	0.643550	0.103180	2465.353027
3911.993044	0.105143	0.103180	2558.930176
3911.993991	0.097723	0.103180	2651.474121
3911.994886	0.097672	0.103180	2738.890625
3911.995776	0.097606	0.103180	2825.760254
3911.996715	0.097661	0.103180	2917.464111
3911.997618	0.097661	0.103180	3005.652100
3911.998508	0.097756	0.103180	3092.655273
3911.999416	0.097694	0.103180	3181.361572
3912.000359	0.097771	0.103180	3273.559570
3912.001256	0.097734	0.103180	3361.227295
3913.046016	1.007794	0.112783	487.772369
3913.046936	1.433672	0.112783	1806.750366
3913.047850	0.722095	0.112783	2466.744873
3913.048734	0.108809	0.112783	2562.931641
3913.049682	0.097676	0.112783	2655.528320
3913.050597	0.097712	0.112783	2744.935059
3913.051484	0.097665	0.112783	2831.563721
3913.052424	0.097830	0.112783	2923.523437
3913.053338	0.097760	0.112783	3012.875977
3913.054240	0.097683	0.112783	3100.986084
3913.055128	0.097756	0.112783	3187.793701
3913.056070	0.097822	0.112783	3279.942383
3913.056976	0.097683	0.112783	3368.443359
3914.046676	0.967712	0.114137	430.632019
3914.047573	1.429164	0.114137	1712.592041
3914.048471	0.824355	0.114137	2452.863281
3914.049426	0.109266	0.114137	2557.212646
3914.050340	0.097643	0.114137	2646.458252
3914.051239	0.097742	0.114137	2734.328125
3914.052157	0.097723	0.114137	2824.038086
3914.053070	0.097837	0.114137	2913.363281
3914.053974	0.097764	0.114137	3001.741699
3914.054864	0.097764	0.114137	3088.751465
3914.055803	0.097830	0.114137	3180.613525
3914.056701	0.097756	0.114137	3268.398682
3914.057601	0.097687	0.114137	3356.316895
3915.131595	0.949563	0.102346	415.908600
3915.132571	1.433701	0.102346	1815.200928
3915.133494	0.702151	0.102346	2463.286133
3915.134390	0.106860	0.102346	2559.032959
3915.135287	0.097668	0.102346	2646.641602
3915.136223	0.097852	0.102346	2738.230713
3915.137131	0.097723	0.102346	2826.963623
3915.138028	0.097771	0.102346	2914.664307
3915.138957	0.097837	0.102346	3005.554687
3915.139863	0.097830	0.102346	3094.188232
3915.140762	0.097778	0.102346	3182.090820
3915.141648	0.097694	0.102346	3268.647705
3915.142590	0.097874	0.102346	3360.844482
3916.098515	0.975688	0.133215	439.059814
3916.099492	1.434126	0.133215	1840.200928
3916.100411	0.679153	0.133215	2464.342285
3916.101304	0.106337	0.133215	2559.301025
3916.102232	0.097621	0.133215	2649.893066
3916.103141	0.097698	0.133215	2738.700439
3916.104043	0.097668	0.133215	2826.797363
3916.104934	0.097709	0.133215	2913.855957
3916.105874	0.097760	0.133215	3005.750488
3916.106779	0.097786	0.133215	3094.246582
3916.107670	0.097731	0.133215	3181.324707
3916.108577	0.097731	0.133215	3269.966553
3916.109504	0.097881	0.133215	3360.702148
3917.218253	0.949841	0.108259	413.180969
3917.219189	1.429753	0.108259	1751.430176
3917.220124	0.740248	0.108259	2443.561768
3917.221026	0.108453	0.108259	2541.386719
3917.221914	0.097636	0.108259	2628.087158
3917.222869	0.097742	0.108259	2721.430420
3917.223773	0.097690	0.108259	2809.742676
3917.224666	0.097668	0.108259	2896.960693
3917.225581	0.097734	0.108259	2986.387695
3917.226505	0.097668	0.108259	3076.633301
3917.227400	0.097665	0.108259	3164.043213
3917.228291	0.097668	0.108259	3251.065918
3917.229223	0.097738	0.108259	3342.157715
3918.149598	0.970056	0.120727	432.645050
3918.150504	1.429438	0.120727	1727.716309
3918.151403	0.805411	0.120727	2451.781250
3918.152348	0.109460	0.120727	2555.221436
3918.153254	0.097701	0.120727	2643.739014
3918.154148	0.097742	0.120727	2731.120117
3918.155063	0.097756	0.120727	2820.567139
3918.155983	0.097771	0.120727	2910.516357
3918.156896	0.097672	0.120727	2999.690918
3918.157794	0.097738	0.120727	3087.459717
3918.158732	0.097800	0.120727	3179.196289
3918.159638	0.097694	0.120727	3267.707031
3918.160541	0.097665	0.120727	3355.898437
3919.296726	0.964105	0.096851	432.883270
3919.297620	1.428973	0.096851	1710.385498
3919.298590	0.752860	0.096851	2440.659668
3919.299489	0.108962	0.096851	2538.616943
3919.300386	0.097577	0.096851	2626.143311
3919.301276	0.097760	0.096851	2713.149658
3919.302216	0.097797	0.096851	2805.078613
3919.303130	0.097720	0.096851	2894.394531
3919.304027	0.097683	0.096851	2982.016357
3919.304946	0.097742	0.096851	3071.841064
3919.305866	0.097705	0.096851	3161.729736
3919.306777	0.097745	0.096851	3250.775879
3919.307671	0.097646	0.096851	3338.071777
3920.213478	0.985909	0.124860	455.490143
3920.214373	1.430193	0.124860	1735.512695
3920.215329	0.731898	0.124860	2435.207275
3920.216229	0.108560	0.124860	2532.910889
3920.217127	0.097592	0.124860	2620.548096
3920.218012	0.097614	0.124860	2706.936035
3920.218954	0.097815	0.124860	2799.077637
3920.219869	0.097705	0.124860	2888.477783
3920.220771	0.097698	0.124860	2976.601074
3920.221697	0.097749	0.124860	3067.116699
3920.222605	0.097793	0.124860	3155.912598
3920.223508	0.097661	0.124860	3244.100586
3920.224397	0.097698	0.124860	3330.953857
3921.358798	0.957737	0.118362	421.404205
3921.359714	1.429497	0.118362	1730.823486
3921.360622	0.796842	0.118362	2454.355957
3921.361551	0.112430	0.118362	2558.803711
3921.362452	0.097720	0.118362	2646.849121
3921.363351	0.097705	0.118362	2734.686035
3921.364238	0.097782	0.118362	2821.418701
3921.365205	0.097775	0.118362	2915.966797
3921.366110	0.097749	0.118362	3004.429687
3921.367011	0.097679	0.118362	3092.438965
3921.367902	0.097661	0.118362	3179.455078
3921.368855	0.097723	0.118362	3272.585449
3921.369767	0.097738	0.118362	3361.722656
3922.292230	1.012855	0.103949	496.299042
3922.293151	1.433676	0.103949	1816.714233
3922.294057	0.721432	0.103949	2470.331543
3922.294941	0.108512	0.103949	2566.256104
3922.295879	0.097720	0.103949	2657.917236
3922.296783	0.097720	0.103949	2746.255859
3922.297673	0.097672	0.103949	2833.184082
3922.298602	0.097822	0.103949	2924.061035
3922.299516	0.097892	0.103949	3013.534180
3922.300420	0.097701	0.103949	3101.856201
3922.301310	0.097690	0.103949	3188.800781
3922.302253	0.097874	0.103949	3281.095459
3922.303164	0.097767	0.103949	3370.161621
3923.413468	0.969170	0.125771	438.064789
3923.414374	1.430028	0.125771	1733.670288
3923.415274	0.803892	0.125771	2457.172852
3923.416237	0.110299	0.125771	2563.390869
3923.417146	0.097650	0.125771	2652.154785
3923.418048	0.097661	0.125771	2740.245117
3923.418988	0.097712	0.125771	2832.094727
3923.419886	0.097668	0.125771	2919.801025
3923.420806	0.097712	0.125771	3009.696533
3923.421700	0.097636	0.125771	3096.982666
3923.422631	0.097782	0.125771	3188.017578
3923.423540	0.097687	0.125771	3276.814941
3923.424468	0.097676	0.125771	3367.458008
3924.380639	0.981339	0.098193	446.509277
3924.381543	1.430665	0.098193	1739.830688
