crossing time (s)	slope (V/s)	crossing number
5505.974882	2.275494	4866
5506.990984	2.292059	4867
5508.046607	2.081353	4868
5509.058729	2.006357	4869
5510.116069	2.381941	4870
5511.133851	2.278762	4871
5512.183222	2.135768	4872
5513.192878	1.941645	4873
5514.265931	2.270278	4874
5515.249399	2.110710	4875
5516.351067	2.342828	4876
5517.301706	1.945493	4877
5518.430579	2.103089	4878
5519.382473	2.275507	4879
5520.468606	2.099240	4880
5521.473230	1.891466	4881
5522.538473	2.412185	4882
5523.517394	2.062427	4883
5524.634747	2.117151	4884
5525.585357	2.262262	4885
5526.679582	2.346988	4886
5527.679610	2.222897	4887
5528.748013	2.312625	4888
5529.724227	2.260835	4889
5530.844391	2.229837	4890
5531.791966	2.103487	4891
5532.887280	2.385563	4892
5533.888030	2.173700	4893
5534.953509	2.204449	4894
5535.935357	2.145544	4895
5537.051607	2.264703	4896
5537.991776	2.187172	4897
5539.108984	2.200286	4898
5540.087158	2.201756	4899
5541.152610	2.300604	4900
5542.163229	2.203046	4901
5543.228724	2.341708	4902
5544.226171	2.090997	4903
5545.309573	2.437163	4904
5546.277148	2.054240	4905
5547.390609	2.196251	4906
5548.340913	2.383854	4907
5549.464769	2.313416	4908
5550.406647	2.112783	4909
5551.534447	2.236880	4910
5552.478350	2.171151	4911
5553.602671	2.293104	4912
5554.548534	2.268122	4913
5555.663495	2.452527	4914
5556.630927	1.905278	4915
5557.719025	2.507522	4916
5558.715373	2.210923	4917
5559.777249	2.283439	4918
5560.790635	2.139044	4919
5561.847697	2.464607	4920
5562.842577	2.314982	4921
5563.945354	1.876054	4922
5564.890585	2.517654	4923
5566.020266	2.403897	4924
5566.967445	2.041228	4925
5568.064691	2.420346	4926
5569.068734	2.110846	4927
5570.119457	2.216332	4928
5571.125139	2.342268	4929
5572.219696	1.942183	4930
5573.168539	2.532310	4931
5574.296714	2.643177	4932
5575.242809	1.875209	4933
5576.345162	2.303936	4934
5577.340283	2.151817	4935
5578.396738	2.331852	4936
5579.411937	2.202624	4937
5580.475180	2.331300	4938
5581.466790	2.503284	4939
5582.562398	2.072687	4940
5583.521374	2.401885	4941
5584.643935	2.343737	4942
5585.581132	2.194553	4943
5586.712260	2.243429	4944
5587.651104	2.268631	4945
5588.778593	2.356741	4946
5589.724685	2.182291	4947
5590.848170	2.378931	4948
5591.791443	2.165700	4949
5592.916547	2.309629	4950
5593.860991	2.265468	4951
5594.987798	2.330476	4952
5595.928991	2.293539	4953
5597.057749	2.377447	4954
5598.001172	2.238170	4955
5599.121476	2.307304	4956
5600.080764	2.404126	4957
5601.175158	2.278572	4958
5602.164566	2.344502	4959
5603.230236	2.371342	4960
5604.243458	2.264596	4961
5605.298975	2.435155	4962
5606.302963	2.181149	4963
5607.385884	2.448655	4964
5608.351521	2.286354	4965
5609.470425	2.365951	4966
5610.414713	2.287841	4967
5611.535787	2.393908	4968
5612.497805	2.396895	4969
5613.583736	2.324763	4970
5614.583401	2.303324	4971
5615.642905	2.559521	4972
5616.656889	2.328789	4973
5617.717116	2.415166	4974
5618.712818	2.217063	4975
5619.802211	2.477859	4976
5620.766664	2.324066	4977
5621.881274	2.447814	4978
5622.829406	2.164588	4979
5623.957022	2.347300	4980
5624.897020	2.472162	4981
5626.023113	2.387171	4982
5626.970327	2.392294	4983
5628.090889	2.316541	4984
5629.040522	2.463348	4985
5630.160918	2.347436	4986
5631.108099	2.442298	4987
5632.230222	2.241493	4988
5633.176193	2.349980	4989
5634.302949	2.368790	4990
5635.243391	2.348353	4991
5636.369544	2.447084	4992
5637.316434	2.337130	4993
5638.429819	2.564999	4994
5639.396476	2.079031	4995
5640.487359	2.534491	4996
5641.481392	2.341936	4997
5642.543327	2.522073	4998
5643.559057	2.135622	4999
5644.606901	2.365113	5000
5645.625545	2.525925	5001
5646.687896	2.348468	5002
5647.680216	2.577832	5003
5648.774009	2.332510	5004
5649.734763	2.335044	5005
5650.855266	2.355498	5006
5651.797645	2.412356	5007
5652.917753	2.441541	5008
5653.878370	2.204733	5009
5654.971914	2.605622	5010
5655.959913	2.302016	5011
5657.031525	2.504598	5012
5658.041729	2.245307	5013
5659.091876	2.486425	5014
5660.112530	2.303202	5015
5661.158382	2.493415	5016
5662.180722	2.394125	5017
5663.231535	2.343220	5018
5664.249000	2.315089	5019
5665.301642	2.416961	5020
5666.316909	2.467064	5021
5667.370420	2.451810	5022
5668.385303	2.424932	5023
5669.439474	2.526134	5024
5670.457591	2.412633	5025
5671.505111	2.443287	5026
5672.525859	2.316331	5027
5673.575769	2.524690	5028
5674.593425	2.251034	5029
5675.648335	2.586564	5030
5676.656140	2.410093	5031
5677.726361	2.518983	5032
5678.714575	2.349931	5033
5679.807482	2.532777	5034
5680.770043	2.313797	5035
5681.887332	2.518881	5036
5682.835800	2.397021	5037
5683.955557	2.433196	5038
5684.909666	2.479091	5039
5686.013702	2.399162	5040
5686.993405	2.468189	5041
5688.068435	2.514742	5042
5689.073210	2.499096	5043
5690.129949	2.473030	5044
5691.147437	2.338912	5045
5692.196165	2.564860	5046
5693.214546	2.413851	5047
5694.269958	2.533757	5048
