time (s)	det(V)
5506.310706	0.083252	
5506.312222	0.080045	
5506.313722	0.078454	
5506.315257	0.077894	
5506.316763	0.077455	
5506.333162	0.066675	
5506.334706	0.064278	
5506.336197	0.060995	
5506.337763	0.060185	
5506.339249	0.059408	
5506.340787	0.055106	
5506.342285	0.052781	
5506.343819	0.053084	
5506.345317	0.050771	
5506.346848	0.049321	
5506.348363	0.048954	
5506.349847	0.050066	
5506.351391	0.047822	
5506.352899	0.045397	
5506.354426	0.045144	
5506.355911	0.044346	
5506.357454	0.041285	
5506.358947	0.039939	
5506.360488	0.039987	
5506.361981	0.038606	
5506.363519	0.037341	
5506.365035	0.037268	
5506.366555	0.037868	
5506.368074	0.035826	
5506.369592	0.034299	
5506.371111	0.034988	
5506.372597	0.033373	
5506.374161	0.032269	
5506.375643	0.031202	
5506.377182	0.032027	
5506.378673	0.030199	
5506.380216	0.029917	
5506.381729	0.030142	
5506.383261	0.030114	
5506.384769	0.028466	
5506.386291	0.028076	
5506.387802	0.028676	
5506.389291	0.028321	
5506.390835	0.026593	
5506.392326	0.026666	
5506.393875	0.027472	
5506.395374	0.025796	
5506.396900	0.024764	
5506.398424	0.024926	
5506.399928	0.025997	
5506.401448	0.025062	
5506.402964	0.024329	
5506.404490	0.025397	
5506.405972	0.024176	
5506.407527	0.023580	
5506.409017	0.022585	
5506.410555	0.022637	
5506.412041	0.021421	
5506.413579	0.021344	
5506.415094	0.020849	
5506.416623	0.021699	
5506.418128	0.020929	
5506.419655	0.020257	
5506.421167	0.020660	
5506.422654	0.019532	
5506.424200	0.018170	
5506.425699	0.017449	
5506.427247	0.017872	
5506.428747	0.016184	
5506.430275	0.015580	
5506.431772	0.015415	
5506.433309	0.015153	
5506.434835	0.014134	
5506.436342	0.014009	
5506.437863	0.013775	
5506.439347	0.012800	
5506.440897	0.011084	
5506.442387	0.010573	
5506.443932	0.010835	
5506.445419	0.008820	
5506.446967	0.007205	
5506.448464	0.008023	
5506.449986	0.008341	
5506.451513	0.006375	
5506.453038	0.005771	
5506.454552	0.005469	
5506.456033	0.004099	
5506.457593	0.002576	
5506.459082	0.001400	
5506.460645	0.001533	
5506.462137	-0.000252	
5506.463683	-0.000924	
5506.465176	-0.001698	
5506.466712	-0.001794	
5506.468220	-0.003188	
5506.469752	-0.004509	
5506.471263	-0.004590	
5506.472746	-0.007406	
5506.474297	-0.009057	
5506.475798	-0.010024	
5506.477338	-0.010475	
5506.478829	-0.011962	
5506.480371	-0.013251	
5506.481867	-0.013009	
5506.483377	-0.012916	
5506.484919	-0.014379	
5506.486405	-0.015333	
5506.487949	-0.014983	
5506.489433	-0.016421	
5506.490966	-0.018741	
5506.492469	-0.019346	
5506.494003	-0.018911	
5506.495521	-0.020945	
5506.497018	-0.022592	
5506.498549	-0.021569	
5506.500060	-0.021606	
5506.501610	-0.023181	
5506.503104	-0.023728	
5506.504651	-0.023608	
5506.506138	-0.024397	
5506.507657	-0.025533	
5506.509170	-0.026383	
5506.510687	-0.025952	
