time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5918.244235	157.643723	0.700703	-0.210718	143
5920.313195	157.369049	0.702117	-0.209926	145
5922.380171	156.803772	0.703283	-0.209528	147
5924.444977	155.861115	0.703509	-0.209256	149
5926.507672	154.763550	0.702103	-0.209195	151
5928.570142	153.613815	0.697266	-0.209554	153
5930.633162	152.854630	0.692187	-0.209845	155
5932.700479	152.628494	0.687841	-0.210038	157
5934.773012	152.996628	0.687993	-0.209294	159
5936.849966	153.744675	0.691916	-0.207652	161
5938.928281	154.639725	0.697730	-0.205441	163
5941.005114	155.420990	0.702527	-0.203286	165
5943.080231	156.083542	0.706242	-0.200945	167
5945.152163	156.509048	0.710142	-0.199594	169
5947.222709	156.724747	0.712261	-0.198095	171
5949.292643	156.749725	0.712820	-0.197010	173
5951.361465	156.710022	0.712490	-0.195521	175
5953.430845	156.680206	0.713168	-0.194101	177
5955.500157	156.650223	0.712937	-0.192963	179
5957.569594	156.569382	0.713955	-0.192571	181
5959.639166	156.478073	0.715237	-0.192042	183
5961.707648	156.253616	0.715953	-0.191570	185
5963.775328	155.765701	0.717923	-0.191970	187
5965.841051	155.004074	0.718770	-0.192636	189
5967.904780	153.885162	0.718549	-0.193305	191
5969.966819	152.532333	0.715125	-0.193416	193
5972.028959	151.140930	0.710552	-0.193211	195
5974.092401	150.039413	0.705687	-0.192133	197
5976.159465	149.508682	0.703369	-0.190619	199
5978.230177	149.644012	0.702940	-0.188097	201
5980.303657	150.268997	0.704286	-0.185856	203
5982.378464	151.164536	0.707161	-0.184116	205
5984.452325	151.913101	0.711102	-0.182460	207
5986.524936	152.374420	0.714651	-0.181321	209
5988.595661	152.515656	0.717820	-0.180513	211
5990.664785	152.323135	0.718429	-0.179875	213
5992.731985	151.908829	0.718231	-0.179417	215
5994.797814	151.295593	0.716831	-0.178654	217
5996.862256	150.579819	0.714685	-0.178267	219
5998.926651	149.884247	0.711188	-0.178629	221
6000.992178	149.562088	0.707244	-0.178401	223
6003.060908	149.458054	0.705894	-0.178347	225
6005.132986	149.665009	0.706575	-0.177857	227
6007.207913	150.189743	0.708987	-0.176322	229
6009.283900	150.734940	0.714193	-0.174946	231
6011.359497	151.328125	0.718739	-0.173016	233
6013.433705	151.832306	0.721981	-0.171478	235
6015.506139	152.206741	0.725134	-0.170235	237
6017.577573	152.478333	0.726569	-0.168446	239
6019.647925	152.636246	0.727537	-0.167363	241
6021.717672	152.695221	0.729854	-0.167005	243
6023.786837	152.641922	0.729998	-0.166422	245
6025.855518	152.526276	0.731106	-0.166248	247
6027.923853	152.287628	0.731694	-0.166063	249
6029.991346	151.938919	0.731425	-0.165462	251
6032.057678	151.388504	0.732178	-0.165663	253
6034.122737	150.673370	0.731069	-0.165818	255
6036.186475	149.695282	0.728945	-0.166100	1
6038.250022	148.654297	0.726269	-0.166399	3
6040.313768	147.692871	0.723429	-0.166238	5
6042.379167	146.988312	0.720284	-0.165506	7
6044.447066	146.712372	0.717736	-0.163677	9
6046.517589	146.811432	0.716882	-0.161250	11
6048.589929	147.319382	0.717681	-0.159049	13
6050.662687	147.861816	0.720316	-0.157470	15
6052.734822	148.350006	0.722275	-0.156009	17
6054.805810	148.540451	0.724572	-0.155320	19
6056.875275	148.575989	0.726527	-0.154687	21
6058.943456	148.358307	0.727941	-0.154209	23
6061.010409	148.020065	0.727994	-0.153809	25
6063.076442	147.596024	0.726588	-0.154053	27
6065.143321	147.246582	0.723939	-0.153573	29
6067.208615	146.847519	0.720578	-0.154161	31
6069.277050	146.770462	0.717627	-0.153831	33
6071.347959	146.863449	0.718382	-0.153505	35
6073.421270	147.153351	0.720051	-0.152846	37
6075.495436	147.534348	0.723967	-0.151754	39
6077.570019	147.920273	0.726963	-0.150267	41
6079.643753	148.271484	0.731076	-0.149460	43
6081.716577	148.594543	0.734225	-0.148195	45
6083.788107	148.865036	0.737048	-0.147099	47
6085.858499	148.984192	0.738858	-0.146559	49
6087.928368	149.057358	0.740821	-0.145724	51
6089.997544	148.967819	0.741309	-0.145244	53
6092.066321	148.899033	0.742150	-0.144654	55
6094.134094	148.657806	0.741786	-0.143930	57
6096.201422	148.305771	0.742358	-0.143788	59
6098.266776	147.736893	0.741930	-0.144092	61
6100.331536	147.016693	0.739427	-0.144184	63
