time (s)	magX	magY	magZ
5919.160176	139.845123	-324.071320	666.377563
5919.163508	134.994156	-326.175354	673.040344
5919.166840	129.967850	-327.402710	678.709534
5919.170179	124.883102	-328.337830	685.664490
5919.173504	117.986557	-328.980713	691.684387
5919.176843	111.323784	-330.032745	695.600220
5919.180174	105.479248	-330.734070	701.094116
5919.183505	99.517822	-331.844543	707.230835
5919.186841	93.088837	-332.955017	711.789612
5919.190203	87.478081	-333.773254	716.991211
5919.193508	80.990646	-334.007019	721.082397
5919.196837	74.094101	-334.240814	726.868469
5919.200176	67.372879	-333.890137	732.479248
5919.203502	60.593220	-335.643494	736.395081
5919.206840	54.105785	-335.994171	740.603149
5919.210173	46.215660	-336.403290	744.928101
5919.213502	38.909992	-336.111053	749.428406
5919.216834	32.364113	-335.526611	753.052063
5919.220171	24.941553	-335.818848	758.253662
5919.223508	18.395674	-336.169495	759.773254
5919.226836	10.563995	-335.643494	764.857971
5919.231460	-3.229107	-334.708374	772.338989
5919.234374	-11.353012	-332.078339	775.144409
5919.237700	-18.717121	-332.896545	776.137939
5919.241139	-26.198132	-331.727661	779.001770
5919.244348	-34.322041	-330.909424	781.164246
5919.247677	-41.393917	-328.805389	784.612549
5919.251035	-49.810055	-327.870270	786.190552
5919.254379	-56.765049	-326.759796	789.755737
5919.257306	-64.713623	-325.824677	788.762146
5919.260640	-72.779083	-324.188202	792.327332
5919.263919	-81.136765	-322.201050	792.151978
5919.267249	-88.325546	-321.207489	793.905334
5919.270594	-96.157211	-319.512573	794.139099
5919.273945	-104.398010	-317.116333	793.379333
5919.277303	-112.171249	-314.018707	794.548218
5919.280166	-120.295151	-312.323792	795.132690
5919.283495	-128.068390	-309.401520	794.372925
5919.286832	-135.841614	-306.713043	794.898926
5919.290162	-143.907089	-305.602600	792.911804
5919.293493	-151.388092	-302.621887	792.327332
5919.296852	-159.395081	-299.874939	790.924622
5919.300160	-166.116318	-296.835785	789.755737
5919.303498	-174.123322	-294.205719	787.476379
5919.306846	-181.312103	-291.108124	786.073669
5919.310159	-189.026886	-288.127411	784.086548
5919.313492	-195.923431	-284.094696	781.047363
